gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
SKM1,YOL113W,Member of the PAK family of serine/threonine protein kinases with similarity to Ste20p and Cla4p; involved in down-regulation of sterol uptake; proposed to be a downstream effector of Cdc42p during polarized growth,protein kinase,SV_00003760_S01 / SV_00003761_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV043 / SV043,non-responsive mutant,3,1
SKY1,YMR216C,SR protein kinase (SRPK) involved in regulating proteins involved in mRNA metabolism and cation homeostasis; similar to human SRPK1,protein kinase,SV_00003536_S01 / SV_00003537_S01,MATalpha,Euroscarf / Euroscarf,SV008_3 / SV008_3,responsive mutant,20,1
SLT2,YHR030C,"Serine/threonine MAP kinase; involved in regulating maintenance of cell wall integrity, progression through the cell cycle, and nuclear mRNA retention in heat shock; required for mitophagy and pexophagy; affects recruitment of mitochondria to the phagophore assembly site (PAS); regulated by the PKC1-mediated signaling pathway",protein kinase,SV_00002232_S01 / SV_00002231_S01,MATalpha,Euroscarf / Euroscarf,IC003 / IC003,responsive mutant,4,1
SMK1,YPR054W,Middle sporulation-specific mitogen-activated protein kinase (MAPK) required for production of the outer spore wall layers; negatively regulates activity of the glucan synthase subunit Gsc2p,protein kinase,SV_00008244_S01 / SV_00008245_S01,MATalpha,Euroscarf / Euroscarf,SV096 / SV096,non-responsive mutant,0,1
SNF1,YDR477W,"AMP-activated serine/threonine protein kinase found in a complex containing Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis",protein kinase,SWA_00006496_S01 / SWA_00006497_S01,MATalpha,Euroscarf / Euroscarf,SEL01 / SEL01,responsive mutant,19,"1, 4"
SPS1,YDR523C,"Putative protein serine/threonine kinase expressed at the end of meiosis and localized to the prospore membrane, required for correct localization of enzymes involved in spore wall synthesis",protein kinase,SV_00003832_S01 / SV_00003834_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV047 / SV047,non-responsive mutant,2,1
SSK22,YCR073C,"MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; functionally redundant with, and homologous to, Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p",protein kinase,IC_00002934_S01 / IC_00002935_S01,MATalpha,Euroscarf / Euroscarf,IC012 / IC012,non-responsive mutant,2,1
SSK2,YNR031C,"MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; interacts with Ssk1p, leading to autophosphorylation and activation of Ssk2p which phosphorylates Pbs2p; also mediates actin cytoskeleton recovery from osmotic stress",protein kinase,SV_00002171_S01 / SV_00002168_S01,MATalpha,Euroscarf / Euroscarf,SV013 / SV013,responsive mutant,24,1
STE11,YLR362W,"Signal transducing MEK kinase involved in pheromone response and pseudohyphal/invasive growth pathways where it phosphorylates Ste7p, and the high osmolarity response pathway, via phosphorylation of Pbs2p; regulated by Ste20p and Ste50p",protein kinase,SV_00003424_S01 / SV_00003423_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV040 / SV040,responsive mutant,40,1
STE20,YHL007C,"Cdc42p-activated signal transducing kinase of the PAK (p21-activated kinase) family; involved in pheromone response, pseudohyphal/invasive growth, vacuole inheritance, down-regulation of sterol uptake; GBB motif binds Ste4p",protein kinase,SV_00008822_S01 / SV_00008823_S01,MATalpha,Euroscarf / Euroscarf,SV097 / SV097,responsive mutant,26,1
STE7,YDL159W,"Signal transducing MAP kinase kinase involved in pheromone response, where it phosphorylates Fus3p, and in the pseudohyphal/invasive growth pathway, through phosphorylation of Kss1p; phosphorylated by Ste11p, degraded by ubiquitin pathway",protein kinase,SV_00005169_S01 / SV_00005170_S01,MATalpha,Euroscarf / Euroscarf,IC015 / IC015,responsive mutant,41,1
SWE1,YJL187C,Protein kinase that regulates the G2/M transition by inhibition of Cdc28p kinase activity; localizes to the nucleus and to the daughter side of the mother-bud neck; homolog of S. pombe Wee1p; potential Cdc28p substrate,protein kinase,IC_00003235_S01 / IC_00003234_S01,MATalpha,Euroscarf / Euroscarf,IC010 / IC010,non-responsive mutant,2,1
TEL1,YBL088C,"Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene, the gene responsible for ataxia telangiectasia (AT) (OMIM 607585)",protein kinase,SV_00004327_S01 / SV_00004328_S01,MATalpha,Euroscarf / Euroscarf,IC016 / IC016,responsive mutant,5,1
TOR1,YJR066W,"PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis",protein kinase,SV_00002278_S01 / SV_00002277_S01,MATalpha,Euroscarf / Euroscarf,SV017_1 / SV017_1,non-responsive mutant,3,"1, 4"
TOS3,YGL179C,"Protein kinase, related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome",protein kinase,SV_00002912_S01 / SV_00002913_S01,MATalpha,Euroscarf / Euroscarf,SV022 / SV022,non-responsive mutant,0,"1, 4"
TPK1,YJL164C,cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk2p and Tpk3p,protein kinase,EA_00003545_S01 / EA_00003544_S01,MATalpha,Euroscarf / Euroscarf,EA017 / EA017,non-responsive mutant,1,"1, 4"
TPK2,YPL203W,cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; partially redundant with Tpk1p and Tpk3p; localizes to P-bodies during stationary phase,protein kinase,MBR_00011118_S01 / MBR_00011119_S01,MATalpha,Open Biosystems / Open Biosystems,HTP136 / HTP136,non-responsive mutant,2,4
TPK3,YKL166C,cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; partially redundant with Tpk1p and Tpk2p; localizes to P-bodies during stationary phase,protein kinase,EA_00003549_S01 / EA_00003548_S01,MATalpha,Euroscarf / Euroscarf,EA017 / EA017,responsive mutant,8,"1, 4"
TWF1,YGR080W,"Twinfilin, highly conserved actin monomer-sequestering protein involved in regulation of the cortical actin cytoskeleton, composed of two cofilin-like regions, localizes actin monomers to sites of rapid filament assembly",protein kinase,SV_00002182_S01 / SV_00002181_S01,MATalpha,Euroscarf / Euroscarf,SV016 / SV016,non-responsive mutant,1,1
VHS1,YDR247W,"Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant, suggesting a role in G1/S phase progression; homolog of Sks1p",protein kinase,IC_00003231_S01 / IC_00003230_S01,MATalpha,Euroscarf / Euroscarf,IC010 / IC010,non-responsive mutant,2,1
VPS15,YBR097W,Myristoylated serine/threonine protein kinase involved in vacuolar protein sorting; functions as a membrane-associated complex with Vps34p; active form recruits Vps34p to the Golgi membrane; interacts with the GDP-bound form of Gpa1p,protein kinase,SV_00002167_S01 / SV_00002172_S01,MATalpha,Euroscarf / Euroscarf,SV013 / SV013,responsive mutant,352,1
YAK1,YJL141C,"Serine-threonine protein kinase; component of a glucose-sensing system that inhibits growth in response to glucose availability; upon nutrient deprivation Yak1p phosphorylates Pop2p to regulate mRNA deadenylation, the co-repressor Crf1p to inhibit transcription of ribosomal genes, and the stress-responsive transcription factors Hsf1p and Msn2p; nuclear localization negatively regulated by the Ras/PKA signaling pathway in the presence of glucose",protein kinase,IC_00003524_S01 / IC_00003525_S01,MATalpha,Open Biosystems / Open Biosystems,IC025 / IC025,non-responsive mutant,2,"1, 4"
YPK3,YBR028C,An AGC kinase phosphorylated by cAMP-dependent protein kinase (PKA) in a TORC1-dependent manner,protein kinase,JBE_00011085_S01 / JBE_00011086_S01,MATalpha,Open Biosystems / Open Biosystems,HTP135 / HTP135,responsive mutant,7,This study
YCK1,YHR135C,"Palmitoylated plasma membrane-bound casein kinase I isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking; provides an essential function overlapping with that of Yck2p",protein kinase,IC_00003377_S01 / IC_00003378_S01,MATalpha,Open Biosystems / Open Biosystems,IC022 / IC022,non-responsive mutant,2,"1, 4"
YCK2,YNL154C,"Palmitoylated plasma membrane-bound casein kinase I isoform; shares redundant functions with Yck1p in morphogenesis, proper septin assembly, endocytic trafficking; provides an essential function overlapping with that of Yck1p",protein kinase,IC_00002615_S01 / IC_00002616_S01,MATalpha,Euroscarf / Euroscarf,IC007 / IC007,non-responsive mutant,1,"1, 4"
YCK3,YER123W,"Palmitoylated, vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway",protein kinase,IC_00002617_S01 / IC_00002618_S01,MATalpha,Euroscarf / Euroscarf,IC007 / IC007,responsive mutant,23,1
RTK1,YDL025C,"Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1",protein kinase,SV_00008240_S01 / SV_00008241_S01,MATalpha,Euroscarf / Euroscarf,SV096 / SV096,non-responsive mutant,0,1
YGK3,YOL128C,"Protein kinase related to mammalian glycogen synthase kinases of the GSK-3 family; GSK-3 homologs (Mck1p, Rim11p, Mrk1p, Ygk3p) are involved in control of Msn2p-dependent transcription of stress responsive genes and in protein degradation",protein kinase,SV_00004228_S01 / SV_00004229_S01,MATalpha,Open Biosystems / Open Biosystems,SV057 / SV057,non-responsive mutant,3,This study
PKP2,YGL059W,Mitochondrial protein kinase that negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p,protein kinase,SV_00002274_S01 / SV_00002273_S01,MATalpha,Euroscarf / Euroscarf,SV017_1 / SV017_1,non-responsive mutant,0,1
PKP1,YIL042C,Mitochondrial protein kinase involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p,protein kinase,SV_00002276_S01 / SV_00002275_S01,MATalpha,Euroscarf / Euroscarf,SV017_1 / SV017_1,non-responsive mutant,0,1
KDX1,YKL161C,Protein kinase implicated in the Slt2p mitogen-activated (MAP) kinase signaling pathway; interacts with numerous components in the mating pheromone and CWI MAPK pathways; associates with Rlm1p,protein kinase,SV_00001278_S01 / SV_00001279_S01,MATalpha,Euroscarf / Euroscarf,SV005_2 / SV005_2,responsive mutant,5,1
NNK1,YKL171W,"Protein kinase; implicated in proteasome function; interacts with TORC1, Ure2 and Gdh2; overexpression leads to hypersensitivity to rapamycin and nuclear accumulation of Gln3; epitope-tagged protein localizes to the cytoplasm",protein kinase,IC_00003263_S01 / IC_00003262_S01,MATalpha,Euroscarf / Euroscarf,IC016 / IC016,non-responsive mutant,1,1
YLR253W,YLR253W,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; transcription is periodic during the metabolic cycle; YLR253W is not an essential gene",protein kinase,IC_00003514_S01 / IC_00003515_S01,MATalpha,Open Biosystems / Open Biosystems,IC025 / IC025,non-responsive mutant,0,1
TDA1,YMR291W,Protein kinase of unknown cellular role; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,protein kinase,IC_00003516_S01 / IC_00003517_S01,MATalpha,Open Biosystems / Open Biosystems,IC025 / IC025,non-responsive mutant,0,1
FPK1,YNR047W,"Ser/Thr protein kinase that regulates the putative phospholipid translocases Lem3p-Dnf1p/Dnf2p; phosphorylates and inhibits upstream inhibitory kinase, Ypk1p; localizes to the cytoplasm, early endosome/TGN compartments, and plasma membrane",protein kinase,SV_00001558_S01 / SV_00001559_S01,MATalpha,Euroscarf / Euroscarf,SV013 / SV013,responsive mutant,4,1
YPK1,YKL126W,Serine/threonine protein kinase; phosphorylates and downregulates flippase activator Fpk1p; also inactivates Orm1p and Orm2p (inhibitors of serine:palmitoyl-coenzyme A transferase) by phosphorylation in response to compromised sphingolipid synthesis; mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; homolog of mammalian kinase SGK,protein kinase,SV_00003494_S01 / SV_00003495_S01,MATalpha,Euroscarf / Euroscarf,SV006_2 / SV006_2,responsive mutant,178,1
YPK2,YMR104C,Protein kinase with similarity to serine/threonine protein kinase Ypk1p; functionally redundant with YPK1 at the genetic level; participates in a signaling pathway required for optimal cell wall integrity; homolog of mammalian kinase SGK,protein kinase,SV_00003496_S01 / SV_00003497_S01,MATalpha,Euroscarf / Euroscarf,SV006_2 / SV006_2,non-responsive mutant,1,1
YPL109C,YPL109C,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",protein kinase,IC_00003518_S01 / IC_00003519_S01,MATalpha,Open Biosystems / Open Biosystems,IC025 / IC025,non-responsive mutant,0,1
FRK1,YPL141C,Protein kinase of unknown cellular role; similar to Kin4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; interacts with rRNA transcription and ribosome biogenesis factors and the long chain fatty acyl-CoA synthetase Faa3,protein kinase,SV_00002971_S01 / SV_00002972_S01,MATalpha,Euroscarf / Euroscarf,SV017_2 / SV017_2,non-responsive mutant,1,1
YPL150W,YPL150W,Protein kinase of unknown cellular role; binds phosphatidylinositols and cardiolipin in a large-scale study,protein kinase,EA_00002601_S01 / EA_00002602_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA011 / EA011,non-responsive mutant,3,1
